,Companion Map: bit.ly/sfstairmap,,,Contact: info@urbanhikersf.com,,,
,Bayview,2,Thornton/3rd St. & Latona. Two stairways on either side of the street.,,https://photos.app.goo.gl/uM4LzgrReordojZf8,,
,Bayview,2,Youngblood Coleman Recreation Center. Main entrance on Hudson Ave./Mendell & Keith.,,https://photos.app.goo.gl/sB5Hums8s7Cb3C9V9,,
,Bayview,1,Adam Rogers Park. Up to basketball court.,,https://photos.app.goo.gl/MHi5t84nbjrRrw5i9,,
,Bayview,1,Key Ave./Jennings St. & Bayview Hill Park. In front of #979.,6,https://photos.app.goo.gl/EaEMhjvmPTWe6Wky6,,
,Bayview,1,Key Ave./Jennings St. & Bayview Hill Park. Stairways in front of #991 and #987,5,https://photos.app.goo.gl/vm7cjBsgGEjgPp5i6,,
,Bayview,1,Shoreview Park. Stairway to nowhere at the end of Rosie Lee Lane.,,,,
,Bayview,1,Youngblood Coleman Recreation Center. Few stairs by baseball field,,https://photos.app.goo.gl/UMaDdqMNNGQD63gV8,,
,Bayview,1,Youngblood Coleman Recreation Center. Few stairs down to tennis courts.,,https://photos.app.goo.gl/UKhuJwnhX3MARVtw8,,
,Bernal Heights,5,Esmeralda/Prospect & Winfield,,https://photos.app.goo.gl/bomWt77rFaetZek87,,
,Bernal Heights,5,Joy/Holladay & Brewster.,,https://photos.app.goo.gl/T6NJJVrTWybHaFsZ6,,
,Bernal Heights,5,Mirabel at No. 11 to Precita.,52,https://photos.app.goo.gl/eyt4BsJx48LPJJVS9,,
,Bernal Heights,5,Tompkins/Putnam & Nevada. Mosaic!,66,https://photos.app.goo.gl/nE8zjw3BTgcZSb6S9,,
,Bernal Heights,4,Andover/Powhattan & Bernal Heights Park.,,https://photos.app.goo.gl/7yqhsrqTva9BS2aN7,,
,Bernal Heights,4,Bradford Stairway from end of Bradford to Jarboe,101,https://photos.app.goo.gl/JVpihvLKXvG4Qz2T6,,
,Bernal Heights,4,Brewster/Brewster at Costa & Upper Brewster & Rutledge.,,https://photos.app.goo.gl/u5X9kGfjyz6Emgeq5,,
,Bernal Heights,4,Eugenia/Prospect & Winfield.,,https://photos.app.goo.gl/rMRDuhefbYG7sfpp6,,
,Bernal Heights,4,Franconia/Franconia & Brewster Stairway through Miller Dogpatch Memorial Garden.,,https://photos.app.goo.gl/XsnkqwnqYP2zbSoXA,,
,Bernal Heights,4,Franconia/Montcalm & Rutledge.,26,https://photos.app.goo.gl/h7TM4t61hRMEJjZB6,,
,Bernal Heights,4,Gates/Bernal Heights Blvd. & Powhattan.,34,https://photos.app.goo.gl/bUYdzZbhVVKMUaUT6,,
,Bernal Heights,4,Holladay/Peralta & Bayshore.,,https://photos.app.goo.gl/skoDQFNrGffzw2MB9,,
,Bernal Heights,4,Ogden Terrace Community Garden. Ogden/Nevada & Prentiss.Ogden/Nevada & Prentiss.,,https://photos.app.goo.gl/2yigoWM5rBuHXmss5,,
,Bernal Heights,4,Peralta/Samoset & Rutledge.,,https://photos.app.goo.gl/6gNicG7kKdygimjx6,,
,Bernal Heights,4,"Rutledge/Holladay, Mullen, Brewster, & Wolf Lane Community Garden.",169,https://photos.app.goo.gl/cRCZSGQbAmTPNyV66,,
,Bernal Heights,3,Banks/Chapman & Powhattan.,27,https://photos.app.goo.gl/Yd3mYpVaz8azn7xWA,,
,Bernal Heights,3,Bernal Heights Park. Across street from 39 Ellsworth into park.,,https://photos.app.goo.gl/sea7sHfANAp4C9Ps9,,
,Bernal Heights,3,Bernal Heights Park. Intersection of Folsom St. & Bernal Heights Blvd.,,https://photos.app.goo.gl/c5gGdofxUThxSn1J6,,
,Bernal Heights,3,Bessie/Bessie & Mirabel at Shotwell.,,https://photos.app.goo.gl/r66QcRjrzqaAMNzv5,,
,Bernal Heights,3,Esmeralda/Brewster & Franconia.,,https://photos.app.goo.gl/LWp7Ht4Jc6wffsDu8,,
,Bernal Heights,3,Esmeralda/Coleridge & Lundys.,,https://photos.app.goo.gl/ofN4PHsBjGvfsFDx7,,
,Bernal Heights,3,Fair Stairway/Coleridge & Lundys.,,https://photos.app.goo.gl/BsyiXRYvpEmC7vpp9,,
,Bernal Heights,3,Faith/Brewster & Holladay.,38,https://photos.app.goo.gl/1YMQ9WvENZpk4Gip6,,
,Bernal Heights,3,Franconia/Mullen & Montcalm.,,https://photos.app.goo.gl/fdKSUZJ3E8ma3XaF7,,
,Bernal Heights,3,Franconia/Mullen & Peralta.,,https://photos.app.goo.gl/p3D9L2VtdZXmazuJ7,,
,Bernal Heights,3,Harrison/Ripley & Norwich.,,https://photos.app.goo.gl/VX76dQkCKrFCeTZP8,,
,Bernal Heights,3,Kingston/Coleridge & Prospect.,39,https://photos.app.goo.gl/FKUUAvCBNTThsia6A,,
,Bernal Heights,3,Mayflower/Bradford & Carver.,13,https://photos.app.goo.gl/uxpg9MvvyyM5tNEw6,,
,Bernal Heights,3,Mayflower/Holladay & Peralta.,65,https://photos.app.goo.gl/XbhtXKDYa9PgQbf17,,
,Bernal Heights,3,Montcalm/Wright & Peralta.,,https://photos.app.goo.gl/m6kZQ5XRBs84UY2g6,,
,Bernal Heights,3,Montezuma at Coso to Mirabel,,https://photos.app.goo.gl/Tbejv1u1xeZ4ncbU7,,
,Bernal Heights,3,Moultrie/Bernal Heights Blvd. & Powhattan.,24,https://photos.app.goo.gl/YpFXMaZfKmREw8TV9,,
,Bernal Heights,3,Nevada/Powhattan & Chapman.,74,https://photos.app.goo.gl/Tm55v8ScMtpEBVYY7,,
,Bernal Heights,3,Prentiss/Bernal Heights Blvd. & Chapman.,52,https://photos.app.goo.gl/RDscptPgunYzxKjE6,,
,Bernal Heights,3,Prentiss/Chapman & Powhattan,27,https://photos.app.goo.gl/Tm55v8ScMtpEBVYY7,,
,Bernal Heights,3,Rosenkrantz between Carver and Nevada,48,https://photos.app.goo.gl/ntVMEbjitaa44b846,,
,Bernal Heights,3,"Rosenkrantz to Bernal Heights Boulevard, between Nevada and Carver.",,https://photos.app.goo.gl/NZmAvWoUokAVPhtV8,,
,Bernal Heights,3,Rosenkrantz/Bernal Heights Blvd. & Bernal Heights Blvd. at Powhattan.,24,https://photos.app.goo.gl/pRcDxsgyJYLensrY6,,
,Bernal Heights,3,Virginia & Elsie. Virginia Garden Walk.,,https://photos.app.goo.gl/ZVhc4EcCa8y2xQLr9,,
,Bernal Heights,2,Aztec/Aztec & Shotwell.,,https://photos.app.goo.gl/77BoCb5fumUxH7if8,,
,Bernal Heights,2,"Bernal Heights Park. Coso, near Bonview, into park.",,https://photos.app.goo.gl/nmodMCyX2sZFogay7,,
,Bernal Heights,2,Bernal Heights Park. From paved path above Esmeralda up to trail and into park.,,https://photos.app.goo.gl/44iA5CimnfrshgTw9,,
,Bernal Heights,2,Bronte/Tompkins & Jarboe.,26,https://photos.app.goo.gl/587ucYFqBuTm4TT5A,,
,Bernal Heights,2,Coso/Prospect & Winfield. Sidewalk stairway.,,https://photos.app.goo.gl/CWG5bE37axTcmLKX7,,
,Bernal Heights,2,Cuvier/San Jose & Bosworth.,,https://photos.app.goo.gl/qUqAcTMXY8gEmVBi9,,
,Bernal Heights,2,Esmeralda/Winfield & Elsie. Up to Bernal Heights Park.,,https://photos.app.goo.gl/45zcYzxDmtie8ueKA,,
,Bernal Heights,2,Highland to San Jose.,,https://photos.app.goo.gl/EFvcXuPgPtKH2AgJ8,,
,Bernal Heights,2,Holly Park. Across from Junipero Serra School at Holly Park Circle.,,https://photos.app.goo.gl/bM3ZGdcH6fMXjfGk7,,
,Bernal Heights,2,"Holly Park. Bocana at Holly Park Circle, into park.",,https://photos.app.goo.gl/grVBkpr1w8L329Zn6,,
,Bernal Heights,2,"Holly Park. East side up from Highland, in park.",,https://photos.app.goo.gl/zvk71iu8wfE3eHyU9,,
,Bernal Heights,2,"Holly Park. Highland at Holly Park Circle, into park.",,https://photos.app.goo.gl/sLZsV4WD372mAYYp7,,
,Bernal Heights,2,"Holly Park. Murray at Holly Park Circle, into park.",,https://photos.app.goo.gl/c1sU9MH8nRVaBqPy6,,
,Bernal Heights,2,Manchester at end of street below Bernal Heights Park.,,https://photos.app.goo.gl/55JJppLn7KP4nqjv8,,
,Bernal Heights,2,Mullen Peralta Mini Park/Montcalm & Mullen.,,https://photos.app.goo.gl/GpWscArH9QGtqHPQA,,
,Bernal Heights,2,"Mullen Stairway, next to No.146, near Franconia.",,https://photos.app.goo.gl/5x1bG8yQg7rMxcu5A,,
,Bernal Heights,2,Peralta/Rutledge & Montcalm.,,https://photos.app.goo.gl/z8KpDemrKVz9Qjfs5,,
,Bernal Heights,2,Powhattan/Gates & Ellsworth.,,https://photos.app.goo.gl/c9vHby1k13jwV3iHA,,
,Bernal Heights,2,Prospect/Cortland & Santa Marina in Good Prospect Community Garden.,21,https://photos.app.goo.gl/Bu3zJA5e1pEujuy2A,,
,Bernal Heights,2,Richland to San Jose.,,https://photos.app.goo.gl/uUUH5LxvGS299nyS8,,
,Bernal Heights,2,St. Mary's Dog Park to Alemany Farm.,,https://photos.app.goo.gl/wVmiW6rSLAnRVjiq9,,
,Bernal Heights,2,Virginia & Winfield. Virginia Garden Walk.,,https://photos.app.goo.gl/WjENPPFYQ6BBWLAK8,,
,Bernal Heights,1,Appleton/San Jose & Mission.,,https://photos.app.goo.gl/hiweY3Gxhz1qasSW7,,
,Bernal Heights,1,Banks at Bernal Heights Blvd.,8,https://photos.app.goo.gl/HvMxuougFNARgxhR8,,
,Bernal Heights,1,Bonview at end. Three steps into Bernal Heights Park.,3,https://photos.app.goo.gl/aRaLQasJ1WGt44J56,,
,Bernal Heights,1,Eve Stairway/Upper & Lower Holladay at Wright & Peralta.,,https://photos.app.goo.gl/G4PmtNiJH3ZNi4TU7,,
,Bernal Heights,1,Holly Park. Into basketball courts.,,https://photos.app.goo.gl/wVmiW6rSLAnRVjiq9,,
,Bernal Heights,1,Lundys Lane & Fair Ave. Just a few steps.,,https://photos.app.goo.gl/5w7WJYeLr9J76bGu7,,
,Bernal Heights,1,Ogden/Moultrie & Anderson. Three wood steps.,,https://photos.app.goo.gl/EpGyX7fYmnhZTmnx7,,
,Bernal Heights,1,Precita Park. Corner of Folsom and Precita. Just a few steps.,,https://photos.app.goo.gl/pnCc3NGKz4ZrnvsN8,,
,Buena Vista (Corona Heights),5,"Buena Vista East at Nos. 355-399, into Buena Vista Park.",,https://photos.app.goo.gl/PhWMiV94am3XaU8U9,,
,Buena Vista (Corona Heights),5,"Buena Vista East. Buena Vista Terrace & Duboce, into Buena Vista Park.",,https://photos.app.goo.gl/5MMhTWU2eA8kQtKg6,,
,Buena Vista (Corona Heights),5,"Buena Vista East. Waller/Broderick, into Buena Vista Park.",,https://photos.app.goo.gl/nhnFUqV6P2tiRjSK9,,
,Buena Vista (Corona Heights),5,Buena Vista Park. Near Entrance at Buena Vista East & Buena Vista West at Upper Terrace.,,https://photos.app.goo.gl/DRQU2YDJjVJ3RSLaA,,
,Buena Vista (Corona Heights),4,"Buena Vista East. Baker & Haight, into Buena Vista Park.",,https://photos.app.goo.gl/WQ5aFBJdvLusGyA87,,
,Buena Vista (Corona Heights),4,Buena Vista East. Waller/Broderick & Buena Vista at No.101. Adah's Stairway.,,https://photos.app.goo.gl/v5H55tczpKE2QXqaA,,
,Buena Vista (Corona Heights),4,Buena Vista Park interior. Buena Vista East near Duboce. First of two stairways leading up to a viewpoint.,,https://photos.app.goo.gl/nmyEVzfzNDiqrKWE6,,
,Buena Vista (Corona Heights),4,Buena Vista Park interior. Buena Vista East near Duboce. Second of two stairways leading up to a viewpoint.,,https://photos.app.goo.gl/78gnmrbrps4ZHqnD7,,
,Buena Vista (Corona Heights),4,Buena Vista Park interior. Closest entrance is Buena Vista East near Duboce. Connects with one of the stairways that leads up a viewpoint.,,https://photos.app.goo.gl/sp1Pymw7Zzqj5dae7,,
,Buena Vista (Corona Heights),4,Buena Vista Park interior. Nearest entrance is Buena Vista East near Duboce. First of two stairways leading up to a viewpoint.,,https://photos.app.goo.gl/nmyEVzfzNDiqrKWE6,,
,Buena Vista (Corona Heights),4,Buena Vista Park interior. Nearest entrance is Buena Vista East near Duboce. Second of two stairways leading up to a viewpoint.,,https://photos.app.goo.gl/78gnmrbrps4ZHqnD7,,
,Buena Vista (Corona Heights),4,Buena Vista Park. First of two stairways north of dog run.,,https://photos.app.goo.gl/LV1dMZpt2qMCV8ge6,,
,Buena Vista (Corona Heights),4,Buena Vista Park. First of two stairways off paved path toward north of park.,,https://photos.app.goo.gl/KAkMSiuR8ZQbUBqN6,,
,Buena Vista (Corona Heights),4,Buena Vista Park. Second of two stairways north of dog run.,,https://photos.app.goo.gl/JdcaNTUfQpoZq25X7,,
,Buena Vista (Corona Heights),4,Buena Vista Park. Second of two stairways off paved path toward north of park.,,https://photos.app.goo.gl/ths9LsVxZChbzeEZ8,,
,Buena Vista (Corona Heights),4,Buena Vista Park. Stone steps to summit.,,https://photos.app.goo.gl/3jnjoLJNHEUbQZU87,,
,Buena Vista (Corona Heights),4,"Buena Vista West into Buena Vista Park, across from No. 555 Buena Vista West.",,https://photos.app.goo.gl/K7VJmNG7H17VsMi18,,
,Buena Vista (Corona Heights),4,"Buena Vista West. Haight/Central & Lyon, into Buena Vista Park. Lovely.",,https://photos.app.goo.gl/Q9M3b49SJ8DzThUs8,,
,Buena Vista (Corona Heights),4,"Buena Vista West. Java, into Buena Vista Park.",,https://photos.app.goo.gl/FdvNQR2KZHDRAfuy7,,
,Buena Vista (Corona Heights),4,"Corona Heights Park, to summit from Roosevelt Way entrance.",,https://photos.app.goo.gl/Da8B8nzen6kd1G1u8,,
,Buena Vista (Corona Heights),4,"Corona Heights Park, to summit. Starting from north of Randall Museum.",,https://photos.app.goo.gl/FBeJBC8rsyHy7wPSA,,
,Buena Vista (Corona Heights),4,Henry Stairway/No. 75 Roosevelt & Castro.,,https://photos.app.goo.gl/MyLoVFvdDRE3vm7p7,,
,Buena Vista (Corona Heights),3,Alpine/Waller & Duboce. Sidewalk Stairway.,,https://photos.app.goo.gl/kW9SxgG8H4GknYjWA,,
,Buena Vista (Corona Heights),3,"Buena Vista East. Park Hill Ave., into Buena Vista Park.",,https://photos.app.goo.gl/viaMDXfvCw2upsww6,,
,Buena Vista (Corona Heights),3,"Buena Vista East/Park Hill Drive & Buena Vista Terrace, into park. Across from a large house with a long fence.",,https://photos.app.goo.gl/QCZ7QBv8YCyanCxi8,,
,Buena Vista (Corona Heights),3,Buena Vista Park interior. Climb up stairway starting from BVEast Nos. 355-399 to narrow walkway and head right.,,https://photos.app.goo.gl/MtpMxGZEe1B8LaZk9,,
,Buena Vista (Corona Heights),3,Buena Vista Park interior. Closest entrance is Buena Vista East betw. Park Hill Drive & Buena Vista Terrace.,,https://photos.app.goo.gl/vLcdmG4j1dqmGB8y9,,
,Buena Vista (Corona Heights),3,Buena Vista Park. A maze of stairways: Part I,,https://photos.app.goo.gl/fpgr94VT5VZJzQxJ9,,
,Buena Vista (Corona Heights),3,Buena Vista Park. A maze of stairways: Part II,,https://photos.app.goo.gl/Li358Vyy1ueU2i4z5,,
,Buena Vista (Corona Heights),3,Buena Vista Park. Along paved path on SW side of park.,,https://photos.app.goo.gl/cvKwY3Ws4En78wug8,,
,Buena Vista (Corona Heights),3,"Buena Vista Park. Just north of the ""Window"" overlook.",,https://photos.app.goo.gl/y1UHNBzbRdPEvq17A,,
,Buena Vista (Corona Heights),3,Buena Vista Park. North of tennis courts.,,https://photos.app.goo.gl/EqJPRcBdHEqeAPfs5,,
